X,Y,index,index_target,acres,shape_area,label,shape_leng,nbrdesc,color_2,nonres_status
-76.5607922295082,39.2043790901639,1426,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5597973333333,39.2043790901639,1427,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5588024371585,39.2043790901639,1428,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5578075409836,39.2043790901639,1429,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5568126448087,39.2043790901639,1430,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5558177486339,39.2043790901639,1431,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.554822852459,39.2043790901639,1432,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5538279562842,39.2043790901639,1433,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5528330601093,39.2043790901639,1434,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5518381639344,39.2043790901639,1435,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5508432677595,39.2043790901639,1436,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5498483715847,39.2043790901639,1437,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5488534754098,39.2043790901639,1438,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.547858579235,39.2043790901639,1439,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5468636830601,39.2043790901639,1440,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5458687868852,39.2043790901639,1441,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5448738907104,39.2043790901639,1442,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5438789945355,39.2043790901639,1443,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5428840983606,39.2043790901639,1444,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5418892021858,39.2043790901639,1445,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5408943060109,39.2043790901639,1446,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.539899409836,39.2043790901639,1447,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5389045136612,39.2043790901639,1448,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
